Runners,Outs,0-2,1-2,0-1,2-2,1-1,0-0,1-0,2-1,3-2,2-0,3-1,3-0
-- -- --,0,0.42,0.44,0.47,0.48,0.5,0.51,0.55,0.55,0.59,0.61,0.67,0.74
1 -- --,0,0.76,0.8,0.84,0.87,0.89,0.9,0.96,0.98,1.03,1.07,1.15,1.25
-- 2 --,0,0.99,1.03,1.1,1.09,1.13,1.15,1.2,1.2,1.18,1.25,1.3,1.38
-- -- 3,0,1.31,1.34,1.41,1.41,1.47,1.5,1.58,1.57,1.64,1.74,1.83,1.98
1 2 --,0,1.23,1.26,1.33,1.34,1.37,1.38,1.44,1.41,1.43,1.48,1.52,1.6
1 -- 3,0,1.56,1.6,1.68,1.67,1.74,1.78,1.85,1.82,1.86,1.91,1.98,2.08
-- 2 3,0,1.77,1.81,1.91,1.85,1.95,1.98,2.03,1.99,1.97,2.09,2.11,2.19
1 2 3,0,2.08,2.09,2.21,2.26,2.27,2.32,2.4,2.46,2.59,2.52,2.63,2.89
-- -- --,1,0.21,0.22,0.24,0.25,0.26,0.27,0.3,0.3,0.32,0.35,0.38,0.43
1 -- --,1,0.41,0.43,0.48,0.49,0.51,0.53,0.57,0.57,0.6,0.64,0.69,0.77
-- 2 --,1,0.55,0.58,0.63,0.63,0.67,0.69,0.73,0.72,0.71,0.79,0.79,0.85
-- -- 3,1,0.76,0.8,0.86,0.86,0.86,0.91,1,1,1.06,1.1,1.21,1.33
1 2 --,1,0.77,0.8,0.9,0.86,0.93,0.97,1,0.99,0.95,1.05,1.06,1.13
1 -- 3,1,0.98,1.03,1.13,1.09,1.18,1.21,1.24,1.25,1.24,1.33,1.36,1.44
-- 2 3,1,1.1,1.17,1.28,1.22,1.32,1.37,1.42,1.39,1.33,1.48,1.48,1.54
1 2 3,1,1.27,1.34,1.43,1.46,1.53,1.57,1.68,1.68,1.78,1.82,1.91,2.15
-- -- --,2,0.06,0.07,0.09,0.09,0.1,0.1,0.12,0.12,0.12,0.14,0.16,0.18
1 -- --,2,0.14,0.16,0.19,0.18,0.21,0.23,0.26,0.24,0.25,0.3,0.32,0.37
-- 2 --,2,0.19,0.22,0.27,0.26,0.31,0.32,0.35,0.34,0.32,0.38,0.39,0.41
-- -- 3,2,0.26,0.31,0.38,0.38,0.41,0.44,0.49,0.49,0.49,0.57,0.61,0.68
1 2 --,2,0.23,0.26,0.32,0.31,0.34,0.36,0.39,0.38,0.37,0.43,0.45,0.49
1 -- 3,2,0.31,0.37,0.42,0.44,0.47,0.5,0.55,0.54,0.54,0.63,0.67,0.73
-- 2 3,2,0.35,0.39,0.48,0.44,0.53,0.57,0.62,0.57,0.54,0.68,0.69,0.75
1 2 3,2,0.46,0.54,0.62,0.67,0.74,0.76,0.9,0.89,0.92,1.05,1.18,1.38
