Runners,Outs,0,1,2,3
-- -- --,0,0.42,0.44,0.48,0.59
1 -- --,0,0.76,0.80,0.87,1.03
-- 2 --,0,0.99,1.03,1.09,1.18
-- -- 3,0,1.31,1.34,1.41,1.64
1 2 --,0,1.23,1.26,1.34,1.43
1 -- 3,0,1.56,1.60,1.67,1.86
-- 2 3,0,1.77,1.81,1.85,1.97
1 2 3,0,2.08,2.09,2.26,2.59
-- -- --,1,0.21,0.22,0.25,0.32
1 -- --,1,0.41,0.43,0.49,0.60
-- 2 --,1,0.55,0.58,0.63,0.71
-- -- 3,1,0.76,0.80,0.86,1.06
1 2 --,1,0.77,0.80,0.86,0.95
1 -- 3,1,0.98,1.03,1.09,1.24
-- 2 3,1,1.10,1.17,1.22,1.33
1 2 3,1,1.27,1.34,1.46,1.78
-- -- --,2,0.06,0.07,0.09,0.12
1 -- --,2,0.14,0.16,0.18,0.25
-- 2 --,2,0.19,0.22,0.26,0.32
-- -- 3,2,0.26,0.31,0.38,0.49
1 2 --,2,0.23,0.26,0.31,0.37
1 -- 3,2,0.31,0.37,0.44,0.54
-- 2 3,2,0.35,0.39,0.44,0.54
1 2 3,2,0.46,0.54,0.67,0.92
