Runners,Outs,0,1,2,3
-- -- --,0,0.51,0.55,0.61,0.74
1 -- --,0,0.90,0.96,1.07,1.25
-- 2 --,0,1.15,1.20,1.25,1.38
-- -- 3,0,1.50,1.58,1.74,1.98
1 2 --,0,1.38,1.44,1.48,1.60
1 -- 3,0,1.78,1.85,1.91,2.08
-- 2 3,0,1.98,2.03,2.09,2.19
1 2 3,0,2.32,2.40,2.52,2.89
-- -- --,1,0.27,0.30,0.35,0.43
1 -- --,1,0.53,0.57,0.64,0.77
-- 2 --,1,0.69,0.73,0.79,0.85
-- -- 3,1,0.91,1.00,1.10,1.33
1 2 --,1,0.97,1.00,1.05,1.13
1 -- 3,1,1.21,1.24,1.33,1.44
-- 2 3,1,1.37,1.42,1.48,1.54
1 2 3,1,1.57,1.68,1.82,2.15
-- -- --,2,0.10,0.12,0.14,0.18
1 -- --,2,0.23,0.26,0.30,0.37
-- 2 --,2,0.32,0.35,0.38,0.41
-- -- 3,2,0.44,0.49,0.57,0.68
1 2 --,2,0.36,0.39,0.43,0.49
1 -- 3,2,0.50,0.55,0.63,0.73
-- 2 3,2,0.57,0.62,0.68,0.75
1 2 3,2,0.76,0.90,1.05,1.38
